wavelength	n_o	n_e
0.124	1.67	1.73
0.1272	1.88	1.97
0.1305	2.04	2.14
0.134	2.19	2.32
0.1378	2.32	2.42
0.1417	2.12	2.17
0.1459	1.82	1.89
0.1503	1.58	1.63
0.155	1.43	1.48
0.1653	1.38	1.48
0.1771	1.54	1.75
0.1907	1.82	2.07
0.2066	2.16	2.3
0.2156	2.36	2.46
0.2254	2.68	2.76
0.2362	3.22	2.98
0.248	3.62	3.1
0.261	3.52	2.99
0.2755	3.19	2.79
0.2917	2.91	2.59
0.31	2.76	2.49
0.40463	2.4317	2.326
0.42	2.4089	2.3025
0.43584	2.3928	2.2932
0.45	2.378	2.2772
0.46782	2.3634	2.2683
0.47999	2.3541	2.2605
0.5	2.341	2.2457
0.50858	2.3356	2.2448
0.54607	2.3165	2.2285
0.55	2.3132	2.2237
0.57696	2.304	2.2178
0.57897	2.3032	2.2171
0.58756	2.3002	2.2147
0.6	2.2967	2.2082
0.64385	2.2835	2.2002
0.66782	2.2778	2.1953
0.7	2.2716	2.1874
0.70652	2.2699	2.1886
0.8	2.2571	2.1745
0.80926	2.2541	2.1749
0.87168	2.2471	2.1688
0.9	2.2448	2.1641
0.93564	2.2412	2.1639
0.95998	2.2393	2.1622
1	2.237	2.1567
1.014	2.2351	2.1584
1.09214	2.2304	2.1545
1.15392	2.2271	2.1517
1.15794	2.2269	2.1515
1.2	2.2269	2.1478
1.2877	2.2211	2.1464
1.4	2.2184	2.1417
1.43997	2.2151	2.1413
1.6	2.2113	2.1361
1.63821	2.2083	2.1356
1.8	2.2049	2.1306
1.91125	2.1994	2.128
2	2.1974	2.125
2.18428	2.1912	2.1211
2.2	2.1909	2.1183
2.39995	2.184	2.1151
2.4	2.185	2.1129
2.6	2.1778	2.1071
2.61504	2.1765	2.1087
2.73035	2.1724	2.1053
2.8	2.1703	2.1009
2.89733	2.1657	2.0999
3	2.1625	2.0945
3.05148	2.1594	2.0946
3.2	2.1543	2.0871
3.4	2.1456	2.0804
3.6	2.1363	2.0725
3.8	2.1263	2.0642
4	2.1155	2.0553
5	2.05	2
6	1.97	1.93
7	1.84	1.83
8	1.71	1.72
9	1.52	1.55
10	1.2	1.3
